Thu May 22 00:58:14 2025    out.prof

         81000586 function calls (80994289 primitive calls) in 41.105 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6161    0.009    0.000    0.026    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\player.py:184(edit)
        1    0.000    0.000    0.025    0.025 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\cffi\cparser.py:1(<module>)
121329/121127    0.015    0.000    0.024    0.000 {built-in method builtins.hasattr}
       94    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
     7913    0.013    0.000    0.023    0.000 {built-in method builtins.sorted}
   119072    0.023    0.000    0.023    0.000 {method 'set_alpha' of 'pygame.surface.Surface' objects}
        1    0.000    0.000    0.022    0.022 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pycparser\__init__.py:1(<module>)
   147864    0.022    0.000    0.022    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.022    0.022 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\moderngl\__init__.py:1697(program)
        1    0.022    0.022    0.022    0.022 {method 'program' of 'mgl.Context' objects}
        1    0.000    0.000    0.022    0.022 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pycparser\c_parser.py:1(<module>)
     6161    0.022    0.000    0.022    0.000 {method 'render' of 'mgl.VertexArray' objects}
  391/390    0.019    0.000    0.021    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\llvmlite\binding\ffi.py:195(__call__)
   138688    0.021    0.000    0.021    0.000 {method 'get_rect' of 'pygame.surface.Surface' objects}
       96    0.000    0.000    0.020    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2800.0_x64__qbz5n2kfra8p0\Lib\threading.py:975(start)
      247    0.000    0.000    0.020    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
   121874    0.020    0.000    0.020    0.000 {built-in method builtins.setattr}
        9    0.000    0.000    0.019    0.002 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\utils.py:687(__init__)
     1723    0.005    0.000    0.018    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgwidgets.py:859(process_widget_events)
      248    0.000    0.000    0.018    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\entrypoints.py:11(init_all)
        1    0.000    0.000    0.018    0.018 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\dispatcher.py:237(_compilation_chain_init_hook)
      247    0.000    0.000    0.018    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\runtime\nrt.py:19(initialize)
        1    0.000    0.000    0.018    0.018 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2800.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\__init__.py:901(entry_points)
     1012    0.002    0.000    0.018    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\extending.py:129(decorate)
      116    0.000    0.000    0.018    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2800.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\__init__.py:910(<genexpr>)
    12322    0.009    0.000    0.018    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2800.0_x64__qbz5n2kfra8p0\Lib\enum.py:1263(__format__)
        1    0.000    0.000    0.018    0.018 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\runtime\nrtdynmod.py:205(compile_nrt_functions)
       96    0.000    0.000    0.017    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2800.0_x64__qbz5n2kfra8p0\Lib\threading.py:637(wait)
